timestamp,open,high,low,close,volume
2025-09-22 23:00:00+00:00,0.19236,0.19236,0.19236,0.19236,245.77324
2025-09-23 01:45:00+00:00,0.18956,0.18957,0.18956,0.18957,1588.47229
2025-09-23 03:00:00+00:00,0.1886,0.1886,0.18761,0.18767,6735.77414
2025-09-23 03:15:00+00:00,0.18791,0.18986,0.18791,0.18986,765.85319
2025-09-23 03:45:00+00:00,0.19472,0.19472,0.19439,0.19439,2242.70003
2025-09-23 04:00:00+00:00,0.19365,0.19496,0.19365,0.19466,2725.98303
2025-09-23 04:30:00+00:00,0.19802,0.19959,0.19802,0.19865,17266.88071
2025-09-23 04:45:00+00:00,0.19801,0.19801,0.19729,0.19749,1756.70314
2025-09-23 05:00:00+00:00,0.19762,0.20019,0.19708,0.1995,37068.27166
2025-09-23 05:15:00+00:00,0.1995,0.1995,0.1995,0.1995,8738.32415
2025-09-23 05:30:00+00:00,0.19806,0.19806,0.19067,0.19267,47549.18436
2025-09-23 06:15:00+00:00,0.19462,0.19462,0.1935,0.1935,20072.67081
2025-09-23 06:30:00+00:00,0.19435,0.19435,0.19435,0.19435,103.31
2025-09-23 06:45:00+00:00,0.19244,0.19359,0.19161,0.19322,6995.60565
2025-09-23 07:30:00+00:00,0.19036,0.19051,0.19019,0.19048,6688.6039
2025-09-23 07:45:00+00:00,0.1905,0.19068,0.18992,0.1902,6786.38014
2025-09-23 08:00:00+00:00,0.18926,0.19083,0.18926,0.19077,2008.55672
2025-09-23 08:15:00+00:00,0.19105,0.1925,0.19102,0.1925,5919.41268
2025-09-23 08:30:00+00:00,0.19267,0.19267,0.19056,0.19056,732.34124
2025-09-23 08:45:00+00:00,0.1907,0.19096,0.19013,0.19084,5189.48463
2025-09-23 09:00:00+00:00,0.191,0.191,0.18809,0.18895,1218.5257
2025-09-23 09:15:00+00:00,0.18902,0.18925,0.18818,0.18821,3166.92186
2025-09-23 09:30:00+00:00,0.18835,0.18875,0.18817,0.18858,6441.973
2025-09-23 09:45:00+00:00,0.18817,0.18819,0.18799,0.18819,1937.63917
2025-09-23 10:00:00+00:00,0.18832,0.18852,0.18815,0.18852,21533.98355
2025-09-23 10:15:00+00:00,0.1882,0.1888,0.18819,0.18864,1717.28776
2025-09-23 10:30:00+00:00,0.18876,0.18883,0.18876,0.18883,478.18821
2025-09-23 11:00:00+00:00,0.18898,0.18898,0.18857,0.18857,1747.31317
2025-09-23 11:45:00+00:00,0.19266,0.19266,0.19246,0.19246,266.10771
2025-09-23 12:00:00+00:00,0.19163,0.19223,0.19077,0.19223,1499.75533
2025-09-23 12:15:00+00:00,0.1918,0.1918,0.1918,0.1918,1034.12246
2025-09-23 12:30:00+00:00,0.19234,0.1966,0.19222,0.19646,54865.59583
2025-09-23 12:45:00+00:00,0.19696,0.19718,0.19667,0.19701,1351.45547
2025-09-23 13:00:00+00:00,0.19787,0.19787,0.19592,0.19691,1980.61512
2025-09-23 13:15:00+00:00,0.19727,0.19821,0.19727,0.19821,501.90763
2025-09-23 13:30:00+00:00,0.19725,0.19725,0.19552,0.19578,9805.11888
2025-09-23 13:45:00+00:00,0.19587,0.19587,0.19587,0.19587,50.2467
2025-09-23 14:00:00+00:00,0.1965,0.19844,0.1965,0.19844,140.47984
2025-09-23 14:15:00+00:00,0.20049,0.20133,0.19891,0.20036,18439.07237
2025-09-23 14:30:00+00:00,0.19973,0.19973,0.19882,0.19882,14300.80241
2025-09-23 14:45:00+00:00,0.1989,0.1989,0.1972,0.1972,3156.91135
2025-09-23 15:00:00+00:00,0.19729,0.19775,0.19729,0.19741,1728.10381
2025-09-23 15:15:00+00:00,0.1964,0.1964,0.19429,0.19467,9402.39995
2025-09-23 16:00:00+00:00,0.19275,0.19322,0.19259,0.19322,4860.62655
2025-09-23 16:15:00+00:00,0.19293,0.19294,0.19293,0.19294,2206.09762
2025-09-23 17:00:00+00:00,0.1912,0.1912,0.1912,0.1912,41.841
2025-09-23 17:15:00+00:00,0.19188,0.19188,0.19187,0.19187,895.04747
2025-09-23 17:30:00+00:00,0.18771,0.18807,0.18724,0.18724,6182.22497
2025-09-23 17:45:00+00:00,0.18778,0.18779,0.18657,0.18657,18040.63343
2025-09-23 18:30:00+00:00,0.1863,0.1863,0.18127,0.18127,26261.21852
2025-09-23 18:45:00+00:00,0.18099,0.18108,0.18049,0.18108,7102.07688
2025-09-23 19:00:00+00:00,0.18144,0.18144,0.18123,0.18125,4120.97663
2025-09-23 19:15:00+00:00,0.17876,0.18225,0.17731,0.18225,40492.8285
2025-09-23 21:30:00+00:00,0.17929,0.17929,0.17929,0.17929,111.27224
2025-09-23 22:00:00+00:00,0.17828,0.17828,0.17714,0.17741,11637.16167
2025-09-23 22:15:00+00:00,0.17855,0.17855,0.17791,0.17791,2906.9597
2025-09-23 22:30:00+00:00,0.1769,0.17787,0.1769,0.17787,2103.31
2025-09-23 22:45:00+00:00,0.17698,0.17717,0.1717,0.1717,13774.18017
2025-09-23 23:00:00+00:00,0.17199,0.17412,0.17199,0.17412,4756.41545
2025-09-23 23:30:00+00:00,0.17539,0.17539,0.17539,0.17539,28.39386
2025-09-24 00:30:00+00:00,0.17667,0.1767,0.17667,0.1767,28225.0
2025-09-24 00:45:00+00:00,0.17663,0.17663,0.17489,0.17489,4000.0
2025-09-24 01:00:00+00:00,0.17429,0.17429,0.17429,0.17429,2000.0
2025-09-24 01:15:00+00:00,0.175,0.175,0.175,0.175,2000.0
2025-09-24 01:30:00+00:00,0.17524,0.1753,0.17524,0.1753,4000.0
2025-09-24 01:45:00+00:00,0.1763,0.1763,0.1763,0.1763,2000.0
2025-09-24 02:30:00+00:00,0.17572,0.17572,0.17572,0.17572,170.27088
2025-09-24 02:45:00+00:00,0.17542,0.17542,0.17513,0.17513,3139.50996
2025-09-24 03:30:00+00:00,0.17432,0.17432,0.17432,0.17432,1144.44699
2025-09-24 04:00:00+00:00,0.17485,0.17485,0.17485,0.17485,300.0
2025-09-24 04:15:00+00:00,0.17343,0.17343,0.17307,0.17307,861.66928
2025-09-24 05:00:00+00:00,0.17373,0.17373,0.17353,0.17353,7291.1567
2025-09-24 05:15:00+00:00,0.17331,0.17334,0.17305,0.17305,5098.57182
2025-09-24 06:00:00+00:00,0.17417,0.17466,0.17417,0.17466,2861.15882
2025-09-24 06:15:00+00:00,0.17454,0.17454,0.17454,0.17454,57.17887
2025-09-24 06:30:00+00:00,0.17504,0.17604,0.1742,0.1742,9148.0232
2025-09-24 06:45:00+00:00,0.1747,0.175,0.1747,0.175,6246.74759
2025-09-24 07:15:00+00:00,0.17473,0.17527,0.17473,0.17527,5565.76375
2025-09-24 07:30:00+00:00,0.17435,0.17694,0.17416,0.17681,40557.90795
2025-09-24 07:45:00+00:00,0.17664,0.17664,0.17664,0.17664,2000.0
2025-09-24 08:00:00+00:00,0.17569,0.17957,0.17569,0.17957,32337.0
2025-09-24 08:15:00+00:00,0.18064,0.18064,0.18064,0.18064,2000.0
2025-09-24 08:45:00+00:00,0.18099,0.18099,0.17945,0.17945,39911.5942
2025-09-24 09:15:00+00:00,0.17886,0.17916,0.17886,0.17916,1217.30536
2025-09-24 09:30:00+00:00,0.17887,0.17887,0.17887,0.17887,51.6504
2025-09-24 09:45:00+00:00,0.17911,0.17911,0.17911,0.17911,57.17887
2025-09-24 10:15:00+00:00,0.1784,0.1784,0.1784,0.1784,249.62761
2025-09-24 10:30:00+00:00,0.17832,0.17925,0.17812,0.1785,26016.63257
2025-09-24 10:45:00+00:00,0.17872,0.17872,0.17872,0.17872,239.12069
2025-09-24 11:00:00+00:00,0.17873,0.17873,0.1781,0.17841,5600.36032
2025-09-24 11:15:00+00:00,0.17878,0.17885,0.17878,0.17885,483.05633
2025-09-24 11:30:00+00:00,0.17876,0.17876,0.1779,0.17842,1309.58618
2025-09-24 11:45:00+00:00,0.17824,0.17884,0.17809,0.17884,5948.01011
2025-09-24 12:00:00+00:00,0.17832,0.17875,0.17832,0.17859,3639.0225
2025-09-24 12:15:00+00:00,0.17872,0.17872,0.17771,0.17771,579.52692
2025-09-24 12:30:00+00:00,0.17883,0.17884,0.17805,0.17827,2382.1622
2025-09-24 12:45:00+00:00,0.17809,0.17836,0.178,0.17832,2113.1568
2025-09-24 13:00:00+00:00,0.17847,0.17926,0.17847,0.17926,1470.90437
2025-09-24 14:00:00+00:00,0.17872,0.17916,0.17872,0.17916,1277.13936
2025-09-24 14:30:00+00:00,0.17874,0.17897,0.178,0.17861,51837.91844
2025-09-24 14:45:00+00:00,0.17866,0.17925,0.17863,0.17877,10201.36176
2025-09-24 15:00:00+00:00,0.17909,0.1791,0.17909,0.1791,16867.00168
2025-09-24 15:15:00+00:00,0.17819,0.17871,0.17749,0.17848,6769.68148
2025-09-24 15:30:00+00:00,0.17822,0.17822,0.17822,0.17822,244.9428
2025-09-24 15:45:00+00:00,0.17852,0.18019,0.17852,0.17852,33656.89161
2025-09-24 16:00:00+00:00,0.17871,0.17871,0.17871,0.17871,27.86637
2025-09-24 16:30:00+00:00,0.17711,0.1774,0.17691,0.1774,2204.83585
2025-09-24 16:45:00+00:00,0.177,0.17745,0.17696,0.17745,451.00402
2025-09-24 17:00:00+00:00,0.17804,0.17875,0.17798,0.17875,9742.7835
2025-09-24 17:15:00+00:00,0.17845,0.17845,0.17743,0.17743,82.61849
2025-09-24 17:30:00+00:00,0.17841,0.17864,0.17841,0.17864,2243.14843
2025-09-24 18:15:00+00:00,0.17803,0.17818,0.17803,0.17818,1944.14572
2025-09-24 18:30:00+00:00,0.17737,0.17737,0.17712,0.1772,2573.65216
2025-09-24 19:30:00+00:00,0.17598,0.17598,0.1758,0.1758,5744.54613
2025-09-24 20:00:00+00:00,0.17604,0.17604,0.17601,0.17601,897.17
2025-09-24 20:15:00+00:00,0.175,0.175,0.175,0.175,3427.14286
2025-09-24 21:15:00+00:00,0.17466,0.1757,0.17466,0.1757,725.01681
2025-09-24 21:45:00+00:00,0.17493,0.17494,0.17493,0.17494,931.33265
2025-09-24 22:30:00+00:00,0.17428,0.17429,0.17428,0.17429,1389.85781
2025-09-24 22:45:00+00:00,0.17348,0.17348,0.17348,0.17348,1944.14572
2025-09-25 00:15:00+00:00,0.17415,0.17458,0.17414,0.17458,2968.51305
2025-09-25 02:00:00+00:00,0.17129,0.17129,0.17129,0.17129,116.46914
